gene1_1_2095	Q4R6W9				5915.0	1.65e-03
gene1_1_2095	C8V8H5				5966.5	4.26e-03
gene5_18785_19509	Q74ZL7				5654.5	6.17e-05
gene5_18785_19509	Q1LX52				5747.5	4.61e-04
gene5_18785_19509	Q0GKC5				5755.5	5.46e-04
gene5_18785_19509	Q1ZXA8				5761.0	6.12e-04
gene5_18785_19509	A0A2R8QUD1				5789.5	1.11e-03
gene5_18785_19509	Q9NX09				5839.0	3.03e-03
gene5_18785_19509	A0A024QZQ6				5839.0	3.03e-03
gene5_18785_19509	P40218				5851.0	3.85e-03
gene5_18785_19509	Q8I5I8				5858.0	4.42e-03
gene5_18785_19509	Q17636				5866.5	5.23e-03
gene5_18785_19509	Q7JQK2				5869.5	5.55e-03
gene5_18785_19509	Q1T763				5873.0	5.95e-03
gene5_18785_19509	Q05942				5877.0	6.43e-03
gene5_18785_19509	O76388				5887.5	7.90e-03
gene5_18785_19509	Q6BWS4				5946.5	2.45e-02
gene5_18785_19509	Q08E62				5950.0	2.61e-02
gene5_18785_19509	Q13352				5950.0	2.61e-02
gene5_18785_19509	F8SNU6				5952.0	2.71e-02
gene5_18785_19509	A2AK24				5953.5	2.79e-02
gene5_18785_19509	P35554				5953.5	2.79e-02
gene5_18785_19509	P93277				5960.0	3.15e-02
gene5_18785_19509	Q9D8C8				5962.0	3.27e-02
gene5_18785_19509	F5H2K4				5968.0	3.66e-02
gene5_18785_19509	P06164				5969.5	3.76e-02
gene5_18785_19509	Q9VG03				5971.0	3.87e-02
gene5_18785_19509	A0A0S2Z4G9				5974.0	4.09e-02
gene5_18785_19509	Q585I5				5974.5	4.13e-02
gene6_31811_32210	5H1S_g				5794.5	1.31e-03
gene6_31811_32210	A0A0S2Z5F8				5799.0	1.42e-03
gene6_31811_32210	Q9NRE7				5874.5	6.00e-03
gene6_31811_32210	G2TRK3				5878.5	6.47e-03
gene6_31811_32210	O95177				5938.0	1.92e-02
gene6_31811_32210	Q4KM29				5939.0	1.96e-02
gene6_31811_32210	A0A178W7C6				5960.5	2.88e-02
gene6_31811_32210	B1AHA5				5964.0	3.06e-02
gene6_31811_32210	P07476				5985.0	4.44e-02
gene7_39837_40241	Q8N5N4				5606.0	1.48e-07
gene7_39837_40241	O13541				5794.0	1.68e-05
gene7_39837_40241	Q12528				5816.5	2.86e-05
gene7_39837_40241	Q9H669				5897.0	1.85e-04
gene7_39837_40241	Q86U02				5929.0	3.80e-04
gene7_39837_40241	P0CE97				5969.0	9.16e-04
gene7_39837_40241	P0CE96				5969.0	9.16e-04
gene7_39837_40241	P0CE98				5969.0	9.16e-04
gene7_39837_40241	P75675				5973.0	9.99e-04
gene7_39837_40241	P19782				5987.0	1.35e-03
gene7_39837_40241	P0C045				6009.5	2.19e-03
gene7_39837_40241	P32630				6018.0	2.62e-03
gene7_39837_40241	O42394				6027.0	3.17e-03
gene7_39837_40241	Q35315				6038.5	4.03e-03
gene7_39837_40241	Q6X4T0				6039.0	4.07e-03
gene7_39837_40241	Q3TZW7				6058.0	6.04e-03
gene7_39837_40241	P38466				6066.0	7.13e-03
gene7_39837_40241	Q7L9D0				6072.0	8.06e-03
gene7_39837_40241	Q9H3Y8				6076.5	8.84e-03
gene7_39837_40241	Q8NHX4				6083.5	1.02e-02
gene7_39837_40241	P86434				6092.5	1.22e-02
gene7_39837_40241	P58512				6102.0	1.48e-02
gene7_39837_40241	Q98185				6111.0	1.77e-02
gene7_39837_40241	Q06250				6113.5	1.87e-02
gene7_39837_40241	A0A2R8Y2A9				6114.0	1.88e-02
gene7_39837_40241	Q6ZSK4				6123.5	2.28e-02
